-0.0444388799,0.0237575844,-0.0419979244,0.0176104102,-0.0034328036,-0.0464160442,-0.0045816037,0.0455868058,-0.0591072254,0.0103747891
0.0514478199,0.0608040579,-0.0247119050,0.0006148723,-0.0493014790,-0.0841599628,0.0046902420,0.0274359621,0.0035969778,-0.0009124039
-0.0399855375,-0.0636351407,0.0292139929,-0.0467293225,0.0517904162,0.0016053069,0.0355527662,0.0445849150,-0.0049486454,0.0563400276
0.0306405649,0.0640219450,-0.0158566516,-0.0372347534,0.0052014599,-0.0215537511,0.0415481292,-0.0373356827,-0.0174749922,-0.0350547545
-0.0320541225,-0.0844569877,0.0463681333,-0.0324976668,0.0407907628,-0.0029671374,-0.0416198820,0.0539477505,-0.0081536081,-0.0273460820
0.0759495273,-0.0947790518,-0.0397552624,0.0196880754,0.0754167140,-0.0231487099,0.0339377448,-0.0408829190,-0.0421941318,0.0715258792
-0.1095720381,-0.0129118208,-0.0248803459,-0.0137238856,0.0018135051,0.0219436008,0.0210550148,0.0307693761,0.0011963175,-0.0119561944
0.0014805315,-0.0338863358,-0.0258566961,0.0542514734,-0.0279791933,0.0119708506,-0.0482046716,0.0597563535,-0.0104650902,0.0472731665
-0.0609615818,-0.0397959687,0.0349445492,-0.0465977453,-0.0029989558,-0.0324619152,-0.0626156256,0.0187153034,-0.0034388597,0.0296735596
-0.0270994864,0.0594486371,0.0166501515,0.0054016509,0.0158421025,0.0355858319,0.0472254790,0.0585882589,0.0168728456,-0.0288080741
0.0804006532,-0.0569163188,0.0020443683,0.0354948640,0.0274768379,-0.0454725400,0.0259968061,-0.0037149836,0.0092325890,-0.0614179932
-0.1319647580,-0.0663349852,-0.0439792052,0.0368675441,0.0375567414,0.0338022746,-0.0245953854,-0.0374094211,-0.0003461467,0.0435329191
0.0876753554,0.0369623601,-0.0083079441,0.0052530323,-0.0640285313,-0.0620041192,0.0016290363,0.0022844120,0.0409962349,0.0037248505
-0.0114159640,0.0547600389,0.0463054739,-0.0110613285,0.0143347718,-0.0061618979,0.0059007737,0.0635057017,-0.0238050967,0.0230810530
-0.0392798260,0.0103141470,0.0174611229,0.0127327740,-0.0534732416,-0.0634307638,0.0174880549,0.0060137999,-0.0073125442,-0.0726325586
-0.0950392932,0.0001514782,-0.0277029928,0.0526216403,-0.0074021071,0.0226648804,-0.0003738688,0.0273232572,0.0007699248,-0.0224383567
